S&P 500 (ES|ES) E1DU6 (0.60 DTE) vs 7670.5 (-6) - Intraday Volume
Put: 32,540  Call: 7,981  Vol: 13.06  Vol Chg: -0.04  Future Chg: -6
Strike,Call,Put,Vol Settle
7550,5,0,0.16697840276174247
7555,0,26,0.16466290049720556
7560,4,88,0.16254303115420043
7565,0,63,0.1605954993283376
7570,0,58,0.15879830886842683
7575,3,237,0.1571307607810013
7580,2,91,0.1555734551511705
7585,2,221,0.15410828875610605
7590,0,118,0.15271845745155588
7595,4,165,0.15138845494948328
7600,3,1673,0.1501040732837282
7605,1,97,0.14885240158764645
7610,1,137,0.14762182807317004
7615,2,140,0.14640203875023872
7620,0,148,0.145184017252177
7625,0,49,0.14396004617447034
7630,2,204,0.1427237053285353
7635,34,260,0.14146987337153405
7640,15,327,0.14019472588552162
7645,10,121,0.13889573788037524
7650,41,1032,0.13757168129086494
7655,104,191,0.1362226273631677
7660,57,233,0.13484994403552264
7665,76,439,0.1334562978008762
7670,170,312,0.1320456542307511
7675,703,931,0.1306232754723169
7680,695,528,0.12919572240207344
7685,331,323,0.12777085439302027
7690,336,279,0.12635782844154164
7695,261,5,0.1249670991091989
7700,912,203,0.12361042003612965
7705,1613,10,0.12230084231123328
7710,393,22,0.12105271528707817
7715,427,0,0.11988168623065576
7720,453,8,0.11880470061441883
7725,237,32,0.11784000211628154
7730,267,1,0.11700713215395808
7735,82,0,0.11632693040883169
7740,458,1,0.11582153470953926
7745,118,1,0.11551438126480207
7750,0,7,0.11543020320823416
7755,116,0,0.11559503292664886
7760,1,3,0.11603620037203655
7765,0,0,0.11678233341081068
7770,0,6,0.117863358638715
7775,0,21,0.11931049998383969
7780,41,0,0.12115628004539758
7785,0,0,0
7790,0,2,0
