Gold (OG|GC) OG1U6 (0.14 DTE) vs 4428.3 (-76.6) - Intraday Volume
Put: 4,525  Call: 3,057  Vol: 35.49  Vol Chg: 0.11  Future Chg: -76.6
Strike,Call,Put,Vol Settle
4340,0,447,0.45116227809012344
4345,0,35,0.4444375736738948
4350,5,375,0.4378949309584641
4355,3,20,0.4315385478157623
4360,3,431,0.42537242168145895
4365,0,22,0.41940034954677685
4370,6,21,0.4136259279557635
4375,0,299,0.40805255304712773
4380,14,94,0.4026834204987608
4385,2,174,0.3975215255486546
4390,11,83,0.39256966301854845
4395,22,41,0.3878304272739115
4400,45,570,0.3833062122512274
4405,42,81,0.37899921145799453
4410,137,33,0.37491141795544536
4415,107,42,0.371044624366732
4420,35,44,0.36740042288602126
4425,80,91,0.36398020526667096
4430,62,71,0.36078516282486817
4435,47,6,0.35781628643871954
4440,156,115,0.35507436655734637
4445,59,105,0.3525599931863326
4450,93,196,0.35027355589318176
4455,2,45,0.3482152438182311
4460,25,8,0.34638504565191397
4465,54,15,0.34478274965749733
4470,27,107,0.3434079436592583
4475,115,19,0.3422600150515791
4480,147,156,0.3413381507716622
4485,29,27,0.34064133734227653
4490,27,25,0.3401683608426538
4495,7,45,0.33991780691576423
4500,494,20,0.3398880607519459
4505,60,1,0.3400773071361982
4510,18,2,0.340483530385427
4515,114,0,0.34110451440392353
4520,81,54,0.3419378426469848
