Gold (OG|GC) G3WQ6 (0.06 DTE) vs 4356.3 (-31.5) - Open Interest
Put: 2,235  Call: 2,864  Vol: 24.43  Vol Chg: -5.39  Future Chg: -31.5
Strike,Call,Put,Vol Settle
4320,0,30,0.27296048520838667
4325,285,321,0.26967651749873767
4330,3,72,0.2666184444533428
4335,0,19,0.2637902724327432
4340,0,26,0.26119550296971283
4345,1,8,0.2588371327765344
4350,36,184,0.25671765369224886
4355,1,20,0.2548390527772426
4360,1,64,0.25320281220592733
4365,7,19,0.25180990935587033
4370,4,26,0.25066081678414776
4375,52,152,0.24975550216004194
4380,10,12,0.24909342837781878
4385,10,9,0.24867355345122633
4390,11,38,0.24849433060262527
4395,8,14,0.24855370819568634
