WTI Crude Oil (LO|CL) ML2Q6 (0.08 DTE) vs 81.15 (+2.97) - Open Interest
Put: 4,762  Call: 8,325  Vol: 62.56  Vol Chg: 6.67  Future Chg: 2.97
Strike,Call,Put,Vol Settle
79,24,11,0.5403916416284602
79.25,8,2,0.5423492322150025
79.5,74,9,0.5443594068064073
79.75,47,0,0.5464138672594316
80,898,66,0.5485045137680515
80.25,63,2,0.5506234448625378
80.5,27,15,0.5527629574104935
80.75,271,1,0.5549155466162716
81,196,15,0.5570739060211309
81.25,21,4,0.5592309275031369
81.5,27,1,0.5613797012772466
81.75,7,0,0.5635135158955364
82,121,19,0.5656258582466478
82.25,5,0,0.56771041355627
82.5,90,2,0.5697610653868708
82.75,9,0,0.5717718956382072
83,162,14,0.5737371845462178
83.25,4,6,0.5756514106844577
